Event#,Date,Temp
1,5/18/2022 17:27,10.357
2,5/18/2022 18:27,10.259
3,5/18/2022 19:27,10.357
4,5/18/2022 20:27,10.259
5,5/18/2022 21:27,10.259
6,5/18/2022 22:27,10.161
7,5/18/2022 23:27,10.161
8,5/19/2022 0:27,10.161
9,5/19/2022 1:27,10.259
10,5/19/2022 2:27,10.357
11,5/19/2022 3:27,10.455
12,5/19/2022 4:27,10.357
13,5/19/2022 5:27,10.455
14,5/19/2022 6:27,10.455
15,5/19/2022 7:27,10.455
16,5/19/2022 8:27,10.455
17,5/19/2022 9:27,10.357
18,5/19/2022 10:27,10.259
19,5/19/2022 11:27,10.063
20,5/19/2022 12:27,10.063
21,5/19/2022 13:27,10.063
22,5/19/2022 14:27,10.063
23,5/19/2022 15:27,10.063
24,5/19/2022 16:27,10.063
25,5/19/2022 17:27,10.161
26,5/19/2022 18:27,10.063
27,5/19/2022 19:27,10.553
28,5/19/2022 20:27,10.357
29,5/19/2022 21:27,10.259
30,5/19/2022 22:27,10.259
31,5/19/2022 23:27,10.063
32,5/20/2022 0:27,10.161
33,5/20/2022 1:27,10.161
34,5/20/2022 2:27,10.259
35,5/20/2022 3:27,10.259
36,5/20/2022 4:27,10.259
37,5/20/2022 5:27,10.161
38,5/20/2022 6:27,10.063
39,5/20/2022 7:27,10.063
40,5/20/2022 8:27,10.161
41,5/20/2022 9:27,10.259
42,5/20/2022 10:27,10.259
43,5/20/2022 11:27,10.063
44,5/20/2022 12:27,9.472
45,5/20/2022 13:27,9.472
46,5/20/2022 14:27,9.866
47,5/20/2022 15:27,9.669
48,5/20/2022 16:27,9.768
49,5/20/2022 17:27,10.063
50,5/20/2022 18:27,9.669
51,5/20/2022 19:27,9.176
52,5/20/2022 20:27,8.978
53,5/20/2022 21:27,9.077
54,5/20/2022 22:27,9.077
55,5/20/2022 23:27,8.581
56,5/21/2022 0:27,8.382
57,5/21/2022 1:27,8.382
58,5/21/2022 2:27,8.879
59,5/21/2022 3:27,9.176
60,5/21/2022 4:27,9.275
61,5/21/2022 5:27,9.373
62,5/21/2022 6:27,9.077
